stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
5.71,31.88920609,32.70897154,32.85779816,33.74908888,34.27682511,34.73081903,35.20268134,36.341206,37.55061517,37.03165831,36.50100071,35.74233075,35.11960347,34.52105533,33.56595802,33.0131972,33.18651171
5.71,33.18651171,33.08897299,33.24773734,34.10340915,34.82029935,35.73435734,35.71218994,36.46721389,37.59442335,36.96590063,36.30157625,36.01558094,35.09576883,34.4524956,33.71175956,33.66173958,33.4336949
5.71,33.4336949,33.66924197,33.49580128,34.0882765,34.46753153,35.58992105,36.32922201,36.5779149,37.81226365,37.47731862,36.34803593,35.9161455,35.22060979,34.46594981,34.19180316,33.55608745,33.36403176
5.71,31.02914542,31.08728914,32.14527776,33.00390797,33.95474422,34.64276281,35.7916741,37.32858111,38.15101015,37.58538987,36.55533325,36.06645645,34.76824332,34.23015903,33.88336467,32.96159149,32.55013786
5.71,32.55013786,33.13593541,33.64354973,34.35222144,34.88034413,35.20937556,36.5344501,37.68027319,37.77811985,37.50318365,36.62186323,35.86018611,34.94685116,34.73533573,33.74980072,33.35058231,32.82018932
5.71,32.82018932,33.07728905,33.64967042,34.29713978,34.95002474,35.74607431,36.5025652,37.3729756,38.02828608,37.22040361,36.56579798,36.30722462,35.385173,34.52291737,33.52514129,33.26590511,33.03506327
5.71,27.60131191,28.42156977,30.1145349,29.74940592,31.27055831,31.66872351,32.96054647,33.41972216,34.58166074,34.14432157,33.10141186,32.95460483,31.92875876,31.35316884,30.83175895,30.11133691,30.14534623
5.71,30.14534623,30.08439915,30.61900694,31.17659277,31.74095353,32.02566516,33.229419,33.68395709,34.15235767,33.86689717,33.06574953,32.95779173,32.22146285,31.94600123,31.29638127,30.12975964,30.00408597
5.71,30.00408597,30.1695957,30.58243228,31.41425817,32.16468035,33.06699352,33.21719508,33.70389206,35.09923019,34.35123936,33.55309722,32.8394948,32.34613033,32.11318293,31.05947057,30.95071865,30.05137083
