stiffness,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
5.8,35.63326975,35.85257341,36.17030156,37.37340458,38.01015885,39.18787124,40.1503313,41.30890294,42.33592905,41.87076415,41.30802256,40.2879702,39.67764742,38.9222728,38.24614721,37.40419387,37.225682
5.8,37.225682,37.22653453,37.62005293,38.35827811,39.04245372,40.02813667,40.77293791,41.51278603,42.37252428,41.98488391,41.60488064,40.46471442,39.75699209,38.96846585,38.19438416,37.80852043,37.56482742
5.8,37.56482742,37.62087384,37.8279847,38.25493397,38.95210876,39.68747283,40.85672458,41.52490439,42.43013585,41.98488391,41.30656333,40.47251907,39.73299756,38.88757394,38.28260887,37.6657693,37.39994775
5.8,35.16215779,35.17609384,35.86476597,36.65116599,37.58702613,38.4906533,39.44229573,41.10439008,41.88075986,41.54835726,40.81013078,39.63446411,38.76576827,38.10707336,37.35071508,36.79377853,36.31572684
5.8,36.31572684,36.60267756,37.29916315,38.06865148,38.75562286,39.7232445,40.46390933,41.25996559,41.97077318,41.30494403,40.63994394,39.7232445,38.97444682,38.16372103,37.36875646,36.78054638,36.53524227
5.8,36.53524227,36.67368733,37.34180976,38.05638678,38.86373077,39.72421444,40.56451531,41.25002919,41.93425563,41.26229459,40.56895845,39.72421444,38.8821115,38.05638678,37.4393499,36.73980934,36.49450523
5.8,35.37883903,35.46162497,36.08053508,36.97868134,37.97252512,38.94748256,40.17711075,40.90653668,41.77936328,41.50474211,40.83703263,39.96019872,39.4469155,38.54764413,37.73854203,37.19985247,36.75209401
5.8,36.75209401,36.88931337,37.36491278,38.0929153,38.86082516,39.69873811,40.4370532,41.10532531,41.63907324,41.32735584,40.80163821,40.0951534,39.42593792,38.50318551,37.79039848,37.24471845,36.91556074
5.8,36.91556074,36.94760397,37.35318749,37.96939963,38.8681833,39.62659728,40.39453025,41.10153268,41.77214441,41.3081446,40.64141798,39.97348887,39.242344,38.60294367,37.67817974,37.09549946,36.8191373
