stiffness,theta0,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
5.45,44.93831664,34.15231867,34.59998441,35.10059521,35.57897403,37.08642334,38.27170395,39.97652461,41.04037655,42.46331031,41.41230959,40.73417264,39.78278612,39.02891353,38.01894081,37.36945825,36.89547857,36.29952423
5.45,44.93831664,36.29952423,36.70434756,37.15743285,37.80265036,38.32782178,39.24018218,40.51250475,41.22986071,42.35440246,41.66456975,40.75283007,39.74977233,38.97504651,38.38473327,37.76514142,36.94876381,36.63901633
5.45,44.93831664,36.63901633,36.63565131,37.36306049,38.03371073,38.94456863,39.69302315,40.58361398,41.3611259,42.56252238,41.45113525,40.78004874,39.72438002,38.87337798,38.12779415,37.42851724,36.83582721,36.73958848
5.45,43.69147761,31.81101386,32.47943187,33.27988518,34.09240708,35.4472,37.13389726,38.91023698,40.37151169,41.54526582,40.76855672,40.06314852,39.1724799,38.72561985,38.25279569,37.4226278,37.06011052,36.92876352
5.45,43.69147761,36.92876352,36.8650838,37.10651218,37.50073433,38.06994056,38.88558821,39.71558926,40.68281039,41.89505497,41.2073516,40.40129372,39.33904751,38.99551294,38.31227348,37.6532387,37.10051939,36.95556269
5.45,43.69147761,36.95556269,37.06450415,37.21742837,37.85801027,38.24150565,38.90145271,39.81329641,40.63931869,42.01327199,41.34976724,40.64544317,39.35434287,38.79399525,38.42057768,37.69416049,37.28129095,36.86495096
5.45,44.06800459,35.53775737,35.81889749,36.28783299,37.39223774,38.1036089,39.57030158,40.40674203,42.45713893,43.47218413,42.55095634,41.93702666,40.94468284,40.09628351,39.65152195,38.77639135,38.30416012,37.93326103
5.45,44.06800459,37.93326103,38.02197825,38.53214507,39.20209396,40.01952026,41.02608042,41.86924118,42.87814477,44.13821931,43.08595277,42.18744922,40.98024292,40.20295826,39.59819337,38.86474954,38.36421739,38.07943633
5.45,44.06800459,38.07943633,38.24992913,38.6688163,39.43205145,40.19729631,40.90227961,41.95144557,42.82192878,43.49128394,42.84577705,42.06060194,41.00585229,40.45694188,39.65465318,38.8460625,38.47275439,38.2078402
